split,text,category,stance
train,🚨 | إعلان هام للمواطنين والمقيمين في دولة قطر 🇶🇦 <LF><LF>وزارة الصحة العامة تفتح باب التسجيل للحصول على لقاح كوڤيد-١٩ 💉<LF><LF>عبر الرابط التالي 👇🏻<LF><LF>https://t.co/eQ5zVvfKz3<LF><LF>#قطر #نديب_قطر https://t.co/tmnxWDPZuS,info_news,1
train,الصين أثناء ظهور السلالة الجديدة من كورونا أم اسنان .. وبالمرة استطاعوا انتاج لقاح لهذه السلالة بهذه السرعة .. اشتروها يا دول والا السلالة الجديدة ستأتي لعضكم https://t.co/8Ej2OBLQdD https://t.co/xpQ3gGBO5k,info_news,1
train,"بنك الدولي: سنؤمن لقاح ""فايزر"" لـ750 ألف شخص في لبنان",info_news,1
train,"مصر.. الصحة تطلق موقع طلبات الحصول على لقاح كورونا ""تجريبيا""  <LF>https://t.co/R2CtlCTalm",info_news,1
train,"كما حذر الرئيس من مخاطر التطعيم.<LF><LF>""التطعيمات خطيرة. وأضاف ماجوفولي ""لو استطاع العلماء اختراعها ، لكانوا قد توصلوا إلى لقاح ضد الإيدز والسرطان والسل منذ فترة طويلة"".<LF>وحث الرئيس ماجوفولي التنزانيين على مواصلة اتخاذ الاحتياطات. في الوقت نفسه ، أعلن أنه لن يكون هناك حجر صحي في البلاد",info_news,-1
train,"معالي الدكتور وزير الصحة يبين أنه لا يمكن لمن تلقى الجرعة الأولى من لقاح "" فايزر بيونيتك "" أن يتلقى الجرعة الثانية من لقاح "" أسترازينيكا "" ويقول إن الدلائل الأولية تُفيد بأن السلالة الجديدة من فيروس كورونا تستجيب للعلاج باللقاحات المختلفة المُصَّنعة لكوفيد -19.",plan,1
train,لقاح الحصبة يمنعك من الإصابة بالحصبة<LF>لقاح الجدري يمنعك من الإصابة بالجدري<LF>لقاح كوذيب 19 لا يمنعك من الإصابة بالمرض، ولا يمنعك من نقل العدوى ويجب عليك الاستمرار بكتم أنفاسك وأن تبتعد عن الناس كما يفعل الأجرب<LF><LF>لماذا يتم تسميته لقاحاً وهو ليس كذلك؟<LF>لتضليل الناس بعد أن عميت بصائرهم https://t.co/5AxqhG765J,unrelated,0
train,#خادم_الحرمين_الشريفين 💚 - حفظه الله - يتلقى الجرعة الأولى من لقاح كورونا ( كوفيد - 19 ). https://t.co/lXiteoYzzz,celebrity,1
train,نتنياهو يتلقى الجرعة الثانية من لقاح كورونا  <LF>https://t.co/5F1vA7o2Xx,info_news,1
train,يجب أن يكون لقاح كوفيد-19 شاملاً للجميع.<LF><LF>لنكن واضحين: إن حماية البلدان الثرية وحدها لن يتيح عودة الحياة إلى طبيعتها. وطالما ظل فيروس الكورونا ينتشر في أي مكان في العالم، فسيظل يشكل تهديداً لنا جميعاً.<LF><LF>يجب أن نعمل معاً، كأمم متحدة. <LF><LF>#اللقاحات_فعالة https://t.co/hZ3NVltEkn,info_news,1
train,مطار القاهرة يستقبل شحنة  تبلغ 50 ألف جرعة من لقاح استرازينيكا  المصنع  في الهند . https://t.co/7zJKLtORRd,info_news,1
train,إذا وللبدّ ما لازم ولا مسؤول رسمي بالدولة اللبنانية خاصة الرؤسا والوزرا يحصلو على لقاح كورونا قبل الشعب مش هنّي في خدمة الشعب أو أنا غلطان؟إذا صحّت المعلومات حول حصول هالفئة عاللقاح قبل غيرهم يعني فعلا الوقاحة بتكون تخطت كل حدود.كيف الكن عين تعملوها ونظرة الناس تجاهكم نظرة احتقار,personal,1
train,#عاجل<LF>#فيديو<LF><LF>#الملك_سلمان يتلقى الجرعة الأولى من لقاح فيروس #كورونا https://t.co/gpGFiksqTh,celebrity,1
train,لأنهم يعلمون أنه #لقاح_آمن وضعوا عقوبات على الشركة التي تقوم بتركيبه ولأنهم يعلمون أن ايران ومن فيها بأمانة أنيس النفوس وضعوا عقوبات على #العتبة_الرضوية_المقدسة <LF><LF>#امريكا_الشيطان_الاكبر,info_news,1
train,الحمدلله أخذت الجرعة الثانية من تطعيم كوفيد19 جعل الله فيه العافية والسلامة من هذا الوباء . https://t.co/K4Vy5WkwZc,personal,1
train,🙄🙄تمخضت وزارة الصحة فأنجبت لقاح إنت وحظك 😢😢يابتقول يارب يابتروح عنده 🤷🏻‍♀️🤷🏻‍♀️واحنا مالناش دخل بدنا واسطه 😂😂,personal,0
train,@USER حسبنا الله ونعم الوكيل. شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكة زي الأدوية الي تتهرب. أثر الميزانية حق الصحة ماتنصرف على المواطن ومستشفيات البلد عشان كذا الميزانية ماتكفي.,requests,0
train,إيران تعلق استيراد 150 ألف جرعة من لقاح فايزر بعد قرار خامنئي منع استيراد اللقاحات,info_news,1
train,لجنة الطوارئ برئاسة رئيس الوزراء تناقش توفير لقاح كورونا لليمن - Saba Net :: سبأ نت https://t.co/CuWejYbsOj,plan,1
train,بايدن يتلقى الجرعة الثانية من لقاح كورونا  <LF>https://t.co/CK4CwewaN0,celebrity,1
train,دراسة: لقاح فايزر يزيد رغبة اللّحس لدى الصحافي الجلجوء,others,1
train,"تركيا.. وصول الدفعة الثانية من لقاح ""كورونافاك"" الصيني  <LF>https://t.co/pw4vFLb01z",info_news,1
train,النائب العام سعود المعجب يتلقى الجرعة الأولى من لقاح كورونا صباح اليوم، معرباً عن شكره العميق للقيادة الرشيدة لسرعة توفير اللقاح للمواطنين والمقيمين، ومؤملاً انتهاء الجائحة قريباً بفضل الله ثم بفضل الجهود المخلصة لوزارة الصحة بتوجيه من خادم الحرمين الشريفين وولي عهده حفظهما الله. https://t.co/vczqmUW1Sc,celebrity,1
train,#ورد_الآن | وزير الصحة: لا ضرورة لإجراء فحص الأجسام المضادة قبل أخذ اللقاح<LF><LF>#عاجل #كورونا_الأردن #لقاح_كورونا #هنا_المملكة,plan,1
train,دكتورة حامل في الشهر الثامن في الولايات المتحدة الأمريكية خذت تطعيم كورونا مع ان غير مصرح للحوامل حاليا لكنها قالت ببساطة<LF>احمي نفسي واللي في بطني افضل من اني اكون حامل واصاب بكورونا<LF>وانت ويهك مربع وتدخن كل يوم<LF> وتخاف من التطعيم<LF>خذ التطعيم ولا تنشر اشاعات خاطئة https://t.co/2b3wYfHKYg,info_news,1
train,نحنا بنادول ما عنا🤣<LF> بدو يكون عنا لقاح كورونا🧐<LF>      #تك كير يا بيبي 🙋‍♂️ #سوا,info_news,1
train,🔸#بالفيديو ..<LF><LF>معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية من لقاح كوفيد١٩ بمجمع بوشر التخصصي https://t.co/w9hoc8DD7Y,celebrity,1
train,"منظمة دولية: العالم على وشك ""فشل أخلاقي"" في توزيع لقاح كورونا<LF><LF>https://t.co/CUURsKEApA https://t.co/D69OAbmkOn",info_news,1
train,بعد ان وعد العالم بلقاح تركى الصنع <LF>سيقدمه للبشريه ..أردوغان يتلقى لقاح <LF>صينى ..ازى الصحه بقى 😂 https://t.co/Ti9unrcCQY,celebrity,1
train,القائد الاعلى للقوات الجوية الاسبانية يستقيل من منصبه بعد اتهامه بالحصول على .لقاح covid 19 قبل ان يحين دوره.<LF><LF>مش عم بمزح🙂,info_news,1
train,🔴لقاح #كورونا #فايزر_بيونتيك المعتمد من وزارة الصحة حصري ل #السيسي و حراميته و مجرمينه<LF>🔴لقاح مودرن الامريكي للأطباء<LF>🔴لقاح #كورونا الصيني الذي تسبب في غيبوبه دائمه لسياسي مصري في الامارات سيعطى للشعب المصري<LF>وهذا مبدأ اي انقلاب <LF>الأشياء الجيده للحاكم وشلته<LF>والسيئة القاتله للشعب,info_news,1
train,مستشار الرئيس للصحة يؤكد التعاقد رسميًا على 20 مليون جرعة لقاح ضد #كورونا,plan,1
train,"هنغاريا توقع عقدا على اقتناء لقاح ""سبوتنيك V"" الروسي ضد كورونا  <LF>https://t.co/db5v6RA2n2",info_news,1
train,تركيا.. وزير الصحة يتلقى أولى جرعات لقاح كورونا الصيني<LF><LF>https://t.co/uZ8AnHOv9a https://t.co/sSoehYUj83,celebrity,1
train,#أبوظبي — الإمارات تعلن توفير لقاح كورونا للجميع بدءا من سن 16 عاما,info_news,1
train,"هل للفيروسات نهاية؟ وما أهمية وجود تطعيم فعال ضد ""#كورونا""؟ | وام <LF><LF>#برق_الإمارات https://t.co/AJ9SlhSgJX",info_news,0
train,@USER @USER نوال الزغبي تلتقي لطيفة في دبي وتوضح حقيقة تلقيها لقاح كورونا<LF><LF>https://t.co/kviOIUAo5w,celebrity,0
train,صورة تغني عن ألف كلمة.. حفظ الله خادم الحرمين الشريفين ورعاه وشكراً له على ما قدمه من دعم منذ بداية الجائحة وحرصه على سلامة المواطنين والمقيمين بعلاجهم وحصولهم على اللقاح مجاناً وأمره ببذل الغالي والنفيس من أجل صحتنا <LF>الله يطول بعمرگ❤️<LF> #الملك_يتلقى_لقاح_كورونا https://t.co/CEDAtB3aMb,celebrity,1
train,#إسرائيل تكشف فعالية لقاح #كورونا وتثير أسئلة حول الاستراتيجية البريطانية<LF>#اندبندنت_عربية_تغنيك https://t.co/pFELxc3orf,plan,1
train,في فترة كورونا :<LF>- استمرار الرواتب الحكوميين<LF>- دعم القطاع الخاص للمواطن وللمقيم <LF>- توفير مؤونة وعدم انقطاعها <LF>- علاج مجاني للمقيم وللمواطن <LF>- تلقي اللقاح مجاني للمقيم وللمواطن <LF>فيه دولة سوت نفسنا؟ <LF>الحمدلله على حكمة القيادة والحمدلله على السلامة ياوالدنا #الملك_يتلقى_لقاح_كورونا https://t.co/oDLeFrXSmx,info_news,1
train,بالمنطق وبعيداً عن الكيدية، على #الدولة_اللبنانية إعطاء لقاح #فيروس_كورونا للاجئين السوريين والفلسطينيين قبل غيرهم، بسبب الاكتظاظ السكاني ضمن #المخيمات حيث يصعب السيطرة على الفيروس في حال انتشاره، إضافةً إلى عدم توفر أدنى السبل الوقائية لديهم للحد من انتشاره,personal,1
train,"شاكرة لنعمة وجودي في دولة تسعى لتأمين اللقاح لكافة الموجودين على أرضها قبل نهاية العام. لكن دعونا لا ننسى ""فقراء اللقاح"".أكثر من مئة دولة لم تحصل على أي دفعة بعد. وإلى أن يتمّ احتواء الوباء عالمياً، لا تتهاونوا في الاجراءات الوقائية! #لقاح #قطر #التزم_بالكمامة #كوفيد_19 https://t.co/HxC97dPoWp",personal,1
train,😅افضل عقار لكورونا <LF>العقار اللى انت ساكن فيه<LF><LF>واحسن لقاح لكورونا انك تتلقح فى نفس العقار 😅😅😅😅😅😅😅😅😅😅😅,personal,0
train,رابطة أطباء غازي عنتاب: عدد من الأطباء السوريين العاملين في المراكز الصحية التابعة لوزراة الصحة التركية في غازي عنتاب تلقوا الجرعة الأولى من لقاح فيروس كورونا,info_news,1
train,العاهل السعودي يتلقى لقاح كورونا.. وفيديو يرصد الحدث<LF>#عاجل <LF>https://t.co/7KhFDubwL0,info_news,1
train,النائب عن الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسرى الفلسطينيين، ردا على قرار حكومته استثناءهم من برنامج التلقيح.. نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزة وجرائم الاحتلال ضد الفلسطينيين https://t.co/ou4X4XAJ7j,requests,1
train,هذا زمن الجمهورية الإسلامية الإيرانية العظمى، إبتداءً من القوة الإيمانية والعلمية التي تمتلكها، إلى القوة العسكرية اللاّمتناهية، الى قوة الحب التي زرعتها في قلوب الأحرار في العالم كل العالم ..<LF>إنتظروا واستبشروا، فالفرج آتٍ لا محالة ..<LF>#لقاح_آمن,unrelated,0
train,التنظيم والنظام والمهنية والبشاشة وجهود #وزارة_الصحة الجبارة تظهر بوضوح من خلال  ملامح الرضى والتبسم المرسومة على ملامح متلقي #لقاح_كوفيد_19 https://t.co/PXNe9ErvB4,info_news,1
train,سيأتي من دولة أمينة #لقاح_آمن <LF>🟩🟩🟩🟩🟩🟩🟩<LF>⬜⬜⬜❤⬜⬜⬜<LF>🟥🟥🟥🟥🟥🟥🟥 https://t.co/1NFxoGjrSM,info_news,1
train,فضيحة من العيار الثقيل.. سيد توكل يفضح خطة نظام #السيسي لتوزيع لقاح #فايزر للمسؤولين و #اللقاح_الصيني للشعب<LF>@USER<LF>#ملفات<LF>#مكملين https://t.co/FpwUAtXCSj,plan,1
train,#إعلان<LF>تعلن إدارة المدرسة متمثلةً بممرضات الصحة المدرسية عن بدأ تطعيم طلاب الصف السادس ضد مرض التيتانوس و الديفتيريا .. عليه يرجى حضور الفئة المستهدفة للمدرسة في يوم الثلاثاء 2-2-2021 خلال فترة الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد من انتشار #كوفيد_19 https://t.co/0dP62CzY49,info_news,1
train,دراسة: لقاح «فايزر» يبدو فعالاً مع «كورونا المتحور»  <LF>https://t.co/q5QqI7luW1,info_news,1
train,عاجل 🔴 <LF>.<LF><LF>.<LF><LF>دراسة طبية لجامعة تكساس الأمريكية تؤكد :<LF><LF>لقاح فايزر فعال ضد السلالة المتحورة من فيروس كورونا التي ظهرت في بريطانيا وجنوب افريقيا.<LF>.<LF><LF>.<LF>أمريكا,info_news,1
train,مواطنة عمرها 100 عام تتلقى لقاح كورونا<LF>#عميد_الامارات https://t.co/7rqprQ7osX,personal,1
train,🔴مباشرة <LF>#الأن وصول الطائرة العسكرية الى مطار بوفاريك والتي على متنها أول دفعة من لقاح سبوتنيك قادمة من العاصمة الروسية موسكو<LF>https://t.co/2U6dMEmEDC https://t.co/5M5rfKtvva,info_news,1
train,بسوق صبرا عالغبيري لاقوا لُقاح ل #كورونا_لبنان (حقنة زوم سردين) وهياهم عايشين بشكل طبيعي.<LF>@USER <LF>@USER https://t.co/DUS0Q8kcrp,personal,1
train,#الشرق_عاجل استقالة منصف السلاوي رئيس فريق البيت الأبيض المكلف بتطوير لقاح كورونا    #عاجل,info_news,0
train,- لقاح فايزر/بيوانتك<LF><LF> وفقًا لبيانات شركة فايزر المنشورة في ديسمبر 2020 ، فإن لقاحها فعال بنسبة 52٪ تقريبًا بعد الجرعة الأولى.  (2),info_news,1
train,"أمير سعودي يجيب على اتهام بحصوله على ""واسطة"" لتلقي لقاح مضاد لفيروس كورونا https://t.co/OxWLxBNsd7",info_news,1
train,أفضل عقار لكورونا العقار الي انت فيه ... وأحسن لقاح لكورونا أنك تتلقح بنفس العقار #درهم_وقاية,personal,-1
train,أهم ما یقدمه موقع |#مجاهدي_خلق الإیرانیة 12 ینایر 2021<LF>#إيران..العقوبة التلقائية لعدم شراء #لقاح_كوفيد_19  #كورونا<LF>وزارة الخارجية الأمريكية تدرج #الحوثيين اليمنيين وثلاثة من قادتهم في قائمة الإرهاب<LF>277 عملية #إعدام، بما في ذلك إعدام 12 سجيناً سياسياً في إيران عام 2020 https://t.co/Xra0pFak1c,info_news,0
train,لقاح #كورونا.. كنيسة #إنجلترا تتهم #الاتحاد_الأوربي بمخالفة المسيحية<LF>رابط تخطي الحجب: https://t.co/V8Li7WdoMF<LF>للمزيد: https://t.co/ufbVY7KLTT,unrelated,0
train,عاجل | الرئيس الأمريكي #جو_بايدن: سنعمل على تطعيم 100 مليون شخص باللقاح المضاد لكورونا خلال المئة يوم الأولى في من فترتي الرئاسية<LF>• وجهت حكام الولايات والوكالات الفيدرالية بالتنسيق المشترك لمواجهة جائحة #كورونا<LF>• سأوقع إعلانا تنفيذيا بتعويض كل الولايات بسبب تداعيات فيروس كورونا,plan,1
train,عاجل | أ ف ب: #فرنسا توصي باستخدام لقاح #أسترازينيكا المضاد لفيروس #كورونا لمن هم أقل من 65 عاما فقط,plan,1
train,عضو لجنة الأوبئة عزمي محافظة للمملكة: الحوامل والمرضعات واللاتي يخططن للحمل يستثنين من أخذ مطعوم #كورونا<LF><LF>#عاجل #الأردن_100 #حكاية_100_عام #هنا_المملكة,info_news,1
train,#الحكومه: وصول 50 ألف جرعة من لقاح #استرازينيكا فى فبراير<LF>#كورونا<LF>للتفاصيل..<LF>https://t.co/OeGWXjqjUv,plan,1
train,كامالا هاريس تتلقي الجرعة الثانية من لقاح كورونا  <LF>https://t.co/UlwCKGPFaa,celebrity,1
train,إهداء لوالدنا وقائدنا #الملك_يتلقى_لقاح_كورونا 💚<LF><LF>بردًا سلامًا رب فاجعل نفعها<LF>عمرًا مديدًا كي يدوم سناه<LF>#الملك_سلمان<LF><LF>🖊 حروف:<LF>@USER<LF><LF>🎙 بصوتي:<LF>#علي_مشيبة https://t.co/aEh6TvYCmt,celebrity,1
train,#الملك_يتلقى_لقاح_كورونا<LF><LF>لاحظوا مدة المقطع ٤٥ ثانية فقط .. راقب فيها ساعته مرتين .. وهناك قاعدة تحث على الدقة تقول ؛<LF>( أضبط ساعتك على مواعيد سلمان ) لأنه معروف منذ أن كان أمير الرياض بدقة مواعيده وإهتمامه بالوقت .<LF><LF>اللهم أحفظه بعينك التي لاتنام🤲🏻 https://t.co/S4EFZXlZme,celebrity,1
train,بيل غيتس يجب ألا نعود كما كنا، رغم أننا سيكون بمقدرتنا صنع لقاحات بسرعة بفضل التقنية الجديدة (الموجودة في لقاح فايزر) علينا أن نكون مستعدين للوباء القادم ونريد أن نستثمر في الفحوصات وفي فريق متكامل نسميه فريق إطفاء الوبائيات يذهب حيث يوجد الوباء الجديد https://t.co/jjGRi5HFdH,info_news,1
train,"#دون_تعليق<LF>مدير منظمة الصحة العالمية:<LF>""أكثر من 39 مليون جرعة من اللقاح تم إعطاؤها حتى الآن في ما لا يقل عن 49 دولة ذات دخل مرتفع. وهناك 25 جرعة فقط أعطيت في أحد البلدان ذات الدخل المنخفض""<LF><LF>سلملي على كوفاكس وال 1.5 مليار لقاح تبع الفقراء<LF>#بس_هيك",info_news,1
train,"#الشرق_عاجل مصر تمنح الترخيص الطارئ لاستخدام لقاح ""كوفيشيلد-أسترازينيكا"" #عاجل",info_news,1
train,إصابة 13 شخصا بشلل فى الوجه بعد تلقيهم لقاح #كورونا بإسرائيل https://t.co/KdCCDNPubX,info_news,-1
train,"خبر سعيد للعالم..<LF>مختبر بايونتيك في بيان رسمي:<LF>#لقاح_كورونا ""#فايزر"" يتمتع بفعالية ضد السلالة البريطانية والجنوب إفريقية من فيروس كورونا المتحور، رسمياً لا خوف بإذن الله على من يأخذ اللقاح من أي سلالة لكورونا 👍 https://t.co/PBqeHUCTaI",info_news,1
train,🔴🔴اتصالات بين الجزائر و #روسيا لتصنيع لقاح #سبوتنيك_V في #الجزائر https://t.co/BJgWH3LcWi,info_news,1
train,🔴 الوزير الأول، وسط المواطنين، يتقدم لتلقي لقاح سبوتنيك V الروسي. https://t.co/UD66CCqPrB,celebrity,1
train,فايزر تتوقع مبيعات بقيمة 15 مليار دولار من لقاح كورونا <LF>https://t.co/S10Iu6fgbe https://t.co/W4DggxByHY,info_news,1
train,#الصحة : ظهور حالة #محصن في #الجواز_الصحي بتطبيق #توكلنا بعد تلقي الجرعة الثانية من لقاح #كورونا .  <LF>#الوطن_اكثر_من_ذلك https://t.co/C7DPFACDZl,info_news,1
train,الصورة الكريمة لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز أبلغ من الكلام وهي تقطع كل من يشكك في استخدام هذا اللقاح<LF>#الملك_يتلقي_لقاح_كورونا<LF>| العميد متقاعد. حسن الشهري | أحداث 24 | https://t.co/vLYiK7iVXE,info_news,1
train,"قريبتي تلقت الجرعة الثانية من لقاح Pfizer،<LF>بعد اسبوع من الجرعة الثانية اتت نتيجة فحص antibodies ايجابية...<LF><LF>الآن اللقاح بدأ يعمل ضد #كورونا.<LF>#trustscience <LF><LF>*هي في اواخر اسابيع الحمل "" https://t.co/KNNMF19SEW",personal,1
train,دراسة: لقاح فايزر بيونتيك فعال ضد فيروس #كورونا المتحور,info_news,1
train,بالفيديو<LF>وفاة 23 شخصاً بعد تلقي لقاح فيروس كورونا في النرويج..والسبب؟<LF>https://t.co/tmMtZWP1hr,info_news,-1
train,#اللقاح_للبناني_أولاً امس مشاهيركم عندنا يتسولون لقاح واليوم صرتوا أولاً شلون كذا,personal,0
train,الحمدلله اخذت قبل شوي الجرعه الثانية من لقاح كورونا 🙏🏽 الله ينفع بها يارب ، والله يعز دولتنا وحكومتنا على كل شيء يقدمونه 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ https://t.co/Ip4DzF7tB9,personal,1
train,أعلن رئيس البلدية آبي بيناي أن مدينة #مكاتي قد حصلت على مليون جرعة من لقاح AstraZeneca Covid-19 https://t.co/mlY5l1dN1P,info_news,1
train,#اللقاح_للبناني_أولاً ردا على كمية الاستفراغ العنصري بالهاشتاغ. انا لبناني ، بتبرع ب ٥٠ لقاح مدفوع ل ٥٠ لاجى بالاراضي اللبنانية من ذوي الامراض المزمنة لما يتامن اللقاح المدفوع.  مين في يساعدني بتحديد المستفيدين؟,personal,1
train,"#فيديو_واس | <LF>السفير الأمريكي لدى المملكة عقب تلقيه لقاح كوررنا #كوفيد_19: أؤكد للمجتمع الأمريكي هنا أن اللقاح آمن وفعال، والتنظيم والكفاءة السعودية اللذان شهدتهما اليوم كانا في غاية الروعة "".<LF>#نعود_بحذر <LF>#واس_عام https://t.co/Jh6AXmsmzF",celebrity,1
train,هرولة الحكومة العراقية لـ شِراء لقاح فايزر الأمريكي ( أمريكا الدولة التي لحد الآن تتصدّر العالم بالإصابات ) هي خطوة مشبوهة خلفها مصالح أمريكية لـ كسب المال وأطراف حكومية فاسدة تشتري الجرعات بأسعار مضاعفة عما تشتريه باقي الدول لـ نفس اللّقاح !!<LF><LF>#نريد_لقاح_آمن,plan,1
train,الدولة و الشعب هايجين من البارحة لان وحدة من المستشفيات ورا ما لقحت الستاف بقه 16 لقاح و ال pfizer لازم يستخدم خلال 5 ايام من تذويبه<LF><LF>المهم فه جانت حتخلص ال 5 ايام بذيج الليلة فابو المستشفى ملقح كرايب العاملين و من ضمنهم جهالة ثنين .. و كتب رسالة اعتذار و يابه جان حيروح بالزبل,info_news,1
train,الرئيس دياب ترأس اجتماع اللجنة الوزارية لمتابعة خطة لقاح وباء كورونا: صرخة الناس مفهومة ومسموعة، ونحن بحاجة للصبر أيامًا معدودة حتى نبدأ نلمس نتائج، لا نريد إهدار هذا الإقفال بقرارات متسرّعة - https://t.co/50MnfDtOtX https://t.co/UjgoWUf1ir,info_news,1
train,"#روسيا تعلن أن #لقاح_كورونا الثاني من معهد ""فيكتور"" فعال بنسبة 100%<LF><LF>#عاجل #فيروس_كورونا #هنا_المملكة",info_news,1
train,#الجزائر <LF>عملية إنتاج لقاح “#سبوتنيك_v” تنطلق الأسابيع المقبلة<LF><LF>https://t.co/L7NUnXHQv4,info_news,1
train,نائب أمير الرياض يتلقى الجرعة الأولى من لقاح #كورونا.<LF><LF>https://t.co/2biIJM8fB4 https://t.co/3JeMYb0hBI,celebrity,1
train,أبو هشيمة يتبرع بـ 2 مليون جنيه على الهواء «مبدئيا» لصندوق تحيا مصر لتوفير لقاح كورونا.. فيديو https://t.co/7ZvWzs9m8i,info_news,1
train,الاتحاد الأوروبي يوافق على لقاح أسترازينيكا المضاد لكورونا لمن هم فوق 18 عاماً https://t.co/vyO6huUFDo,plan,1
train,قدمت الإمارات أكثر من 3 ملايين و114 ألف جرعة من لقاح كورونا الله يحفظك يا وطني على كل مجهوداتك 👌🇦🇪<LF> #اخترت_التطعيم<LF>⁩ ⁧#يدا_بيد_نتعافى⁩,plan,1
train,عاجل | تلقى خادم الحرمين الشريفين الجرعة الأولى من لقاح #كورونا<LF><LF>#COVID19 <LF>#يدا_بيد_نتعافى<LF>#TogetherWeRecover <LF>#عينك_على_العالم https://t.co/lwfrEYR8Rd,info_news,1
train,أنقرة.. أردوغان يتلقى جرعة أولى من لقاح “كورونا”<LF>التفاصيل: https://t.co/NfPm0nRhrz,celebrity,1
train,عندما ينزل الدجال سيكون مكتوب على جبينه كافر ومع ذلك يتبعه خلق كثير.<LF>لا بد أن الناس حينها تعرضوا لسحر او ربما لقاح من نوع ما. 🤔,personal,-1
